State,Population
Montgomery,Huntsville
Juneau,Anchorage
Phoenix,"Feb 14, 1912"
Little Rock,"Jun 15, 1836"
Sacramento,Los Angeles
Denver,"Aug 1, 1876"
Hartford,Bridgeport
Dover,Wilmington
Tallahassee,Jacksonville
Atlanta,"Jan 2, 1788"
Honolulu,"Aug 21, 1959"
Boise,"Jul 3, 1890"
Springfield,Chicago
Indianapolis,"Dec 11, 1816"
Des Moines,"Dec 28, 1846"
Topeka,Wichita
Frankfort,Louisville
Baton Rouge,New Orleans
Augusta,Portland
Annapolis,Baltimore
Boston,"Feb 6, 1788"
Lansing,Detroit
Saint Paul,Minneapolis
Jackson,"Dec 10, 1817"
Jefferson City,Kansas City
Helena,Billings
Lincoln,Omaha
Carson City,Las Vegas
Concord,Manchester
Trenton,Newark
Santa Fe,Albuquerque
Albany,New York City
Raleigh,Charlotte
Bismarck,Fargo
Columbus,"Mar 1, 1803"
Oklahoma City,"Nov 16, 1907"
Salem,Portland
Harrisburg,Philadelphia
Providence,"May 29, 1790"
Columbia,Charleston
Pierre,Sioux Falls
Nashville,"Jun 1, 1796"
Austin,Houston
Salt Lake City,"Jan 4, 1896"
Montpelier,Burlington
Richmond,Virginia Beach
Olympia,Seattle
Charleston,"Jun 20, 1863"
Madison,Milwaukee
Cheyenne,"Jul 10, 1890"
